name,season,player_points,player_field_goals_made,player_field_goals_missed,player_field_goals_att,player_free_throws_made,player_free_throws_missed,player_free_throws_att,player_three_points_made,player_three_points_missed,player_three_points_att,player_rebounds,player_assists,player_steals,player_blocks,player_turnovers,player_pls_min,mojo_value
Dewayne Dedmon,2021,138,56,27,83,24,8,32,2,6,8,104,15,9,8,19,31,1.7650000000000001
Dewayne Dedmon,2022,475,185,150,335,85,27,112,20,37,57,428,52,25,45,77,38,5.7525
Dewayne Dedmon,2023,199,77,75,152,33,16,49,12,28,40,135,26,9,19,26,-128,1.795
Dillon Brooks,2018,909,345,439,784,124,42,166,95,174,269,262,137,73,17,126,-217,6.31
Dillon Brooks,2019,135,49,73,122,22,8,30,15,25,40,31,16,10,4,19,-16,0.8275000000000001
Dillon Brooks,2020,1181,435,633,1068,164,39,203,147,264,411,243,150,63,27,124,-41,7.832500000000001
Dillon Brooks,2021,1280,482,646,1128,180,41,221,136,256,392,217,168,85,28,128,147,9.34
Dillon Brooks,2022,751,287,411,698,106,25,131,71,150,221,132,118,47,11,72,252,5.630000000000001
Dillon Brooks,2023,1110,416,652,1068,125,36,161,153,328,481,262,200,66,16,111,161,8.015
D.J. Augustin,2009,850,,354,,,25,,108,,,133,250,42,2,119,-39,6.879999999999999
D.J. Augustin,2010,525,,279,,,30,,72,,,101,200,46,6,78,26,4.415000000000002
D.J. Augustin,2011,1178,,559,,,28,,111,,,225,498,54,3,155,-256,9.600000000000001
D.J. Augustin,2012,532,,304,,,15,,61,,,109,307,36,1,110,-404,3.435
D.J. Augustin,2013,454,,235,,,22,,86,,,106,183,41,3,78,-132,3.6575000000000006
D.J. Augustin,2014,996,317,471,785,218,28,246,140,217,357,138,337,56,3,134,73,8.2725
D.J. Augustin,2015,777,10,389,21,3,27,4,83,7,12,161,353,49,3,145,-68,6.280000000000001
D.J. Augustin,2016,467,1,202,2,0,25,0,68,0,1,95,198,38,4,84,-33,4.217499999999999
D.J. Augustin,2017,616,6,322,20,7,30,8,95,6,9,117,209,31,1,90,-445,3.5799999999999996
D.J. Augustin,2018,766,244,296,540,164,25,189,114,158,272,160,287,54,0,123,-134,6.9
D.J. Augustin,2019,1012,338,380,718,195,30,225,141,191,332,211,445,54,5,135,101,10.57
D.J. Augustin,2020,665,202,305,507,183,21,204,78,140,218,132,292,35,1,98,53,6.092500000000001
D.J. Augustin,2021,438,135,208,343,85,9,94,83,134,217,94,188,28,1,65,-38,4.005
D.J. Augustin,2022,294,94,128,222,38,5,43,68,96,164,68,107,17,1,56,-177,2.2
D.J. Augustin,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domantas Sabonis,2017,483,1,292,4,0,23,0,51,2,2,290,82,40,33,83,13,4.0225
Domantas Sabonis,2018,961,382,347,729,182,61,243,15,30,45,615,159,41,34,144,56,9.455000000000002
Domantas Sabonis,2019,1077,425,304,729,217,88,305,10,11,21,719,228,51,31,165,162,12.0125
Domantas Sabonis,2020,1149,458,391,849,216,84,300,17,50,67,777,310,47,30,171,157,12.672500000000001
Domantas Sabonis,2021,1262,485,421,906,240,88,328,52,110,162,743,416,76,33,213,-96,13.525
Domantas Sabonis,2022,1171,443,330,773,246,86,332,39,86,125,752,323,59,27,195,-12,12.965
Domantas Sabonis,2023,1625,626,411,1037,341,125,466,32,56,88,1050,606,75,45,256,163,20.177499999999995
Donovan Mitchell,2018,1891,700,915,1615,278,62,340,213,423,636,363,344,139,33,250,326,14.75
Donovan Mitchell,2019,1956,705,950,1655,344,86,430,202,366,568,348,347,119,33,243,356,14.735
Donovan Mitchell,2020,1916,688,821,1509,333,47,380,207,333,540,344,332,79,17,214,148,14.855
Donovan Mitchell,2021,1739,589,749,1338,330,62,392,231,354,585,281,336,64,17,176,289,14.205000000000002
Donovan Mitchell,2022,1886,670,839,1509,304,51,355,242,460,702,308,392,103,15,216,237,15.2725
Donovan Mitchell,2023,2038,724,782,1506,332,54,386,258,422,680,314,337,109,30,199,329,17.75
Donte DiVincenzo,2019,131,50,74,124,9,3,12,22,61,83,65,31,13,6,19,107,1.4900000000000004
Donte DiVincenzo,2020,676,255,306,561,76,30,106,90,178,268,350,166,92,23,100,397,8.175
Donte DiVincenzo,2021,696,256,363,619,51,20,71,133,225,358,399,211,75,16,97,316,8.1875
Donte DiVincenzo,2022,380,118,218,336,70,13,83,74,144,218,170,118,48,8,72,-75,3.2725
Donte DiVincenzo,2023,749,259,345,604,66,17,83,165,257,422,364,288,108,13,129,86,8.875
Dorian Finney-Smith,2017,350,4,209,9,1,15,1,56,3,5,221,67,52,25,45,-124,3.312500000000001
Dorian Finney-Smith,2018,123,46,75,121,11,4,15,20,47,67,75,26,10,4,21,-24,0.9825000000000002
Dorian Finney-Smith,2019,608,228,300,528,73,30,103,79,175,254,389,95,69,36,74,-89,6.147500000000001
Dorian Finney-Smith,2020,739,266,308,574,82,31,113,125,208,333,439,133,52,42,78,238,8.7675
Dorian Finney-Smith,2021,662,246,284,530,35,11,46,135,204,339,372,117,60,27,60,225,8.037500000000001
Dorian Finney-Smith,2022,1091,400,449,849,73,34,107,218,325,543,474,185,105,46,98,288,12.480000000000004
Dorian Finney-Smith,2023,576,205,319,524,45,14,59,121,234,355,334,103,58,38,67,-23,5.852499999999999
Doug McDermott,2015,114,5,66,13,0,5,2,14,6,8,45,7,4,1,18,-67,0.47250000000000003
Doug McDermott,2016,764,5,353,9,0,12,0,110,2,5,195,59,14,6,53,-66,5.439999999999999
Doug McDermott,2017,617,,284,,,13,,84,,,184,59,14,6,39,-44,4.7
Doug McDermott,2018,630,237,271,508,64,17,81,92,124,216,200,79,19,16,56,-37,5.202500000000001
Doug McDermott,2019,570,209,223,432,68,15,83,84,129,213,114,71,18,9,42,127,5.047499999999999
Doug McDermott,2020,720,271,291,562,48,10,58,130,174,304,177,79,13,5,43,67,6.2225
Doug McDermott,2021,899,354,311,665,80,18,98,111,175,286,221,85,20,6,53,-48,7.63
Doug McDermott,2022,578,215,250,465,40,11,51,108,148,256,115,64,13,6,43,-38,4.425
Doug McDermott,2023,654,239,284,523,53,17,70,123,175,298,138,91,13,6,58,-236,4.5249999999999995
Draymond Green,2013,297,,205,,,14,,23,,,311,72,48,35,63,-81,3.1075000000000004
Draymond Green,2014,594,215,304,519,101,46,147,63,131,194,467,172,114,84,108,168,8.155000000000001
Draymond Green,2015,1209,6,566,13,0,91,0,135,3,5,859,400,161,124,191,1030,21.055000000000003
Draymond Green,2016,1490,12,579,33,7,128,12,138,9,15,1002,736,158,154,316,1233,25.8325
Draymond Green,2017,1000,7,468,14,2,83,2,113,3,5,761,649,189,134,221,1050,20.4825
Draymond Green,2018,1002,364,447,811,176,50,226,98,237,335,762,681,136,124,265,510,19.26
Draymond Green,2019,778,302,349,651,114,48,162,60,162,222,704,641,127,103,252,590,15.447499999999998
Draymond Green,2020,345,123,193,316,63,20,83,36,93,129,266,266,59,33,98,-192,4.370000000000001
Draymond Green,2021,444,170,210,380,70,18,88,34,92,126,448,558,105,52,188,241,9.059999999999999
Draymond Green,2022,522,204,197,401,90,48,138,24,69,93,495,458,86,72,198,307,11.867500000000001
Draymond Green,2023,730,292,273,565,101,40,141,45,106,151,608,582,91,72,231,334,11.985000000000003
Drew Eubanks,2019,41,15,11,26,11,2,13,0,0,0,34,7,2,5,8,-21,0.44749999999999995
Drew Eubanks,2020,107,43,24,67,20,6,26,1,0,1,85,15,5,17,21,-71,1.1775
Drew Eubanks,2021,311,116,89,205,77,29,106,2,0,2,241,42,18,49,45,-96,3.6399999999999997
Drew Eubanks,2022,546,221,150,371,99,31,130,5,18,23,382,85,31,40,81,-327,5.4350000000000005
Drew Eubanks,2023,518,214,120,334,83,42,125,7,11,18,418,103,40,102,67,-131,7.277499999999998
Duane Washington Jr.,2022,473,173,254,427,46,15,61,81,134,215,83,85,26,3,57,-125,2.91
Duane Washington Jr.,2023,244,94,162,256,16,8,24,40,71,111,36,63,6,4,34,-6,1.3175
Duncan Robinson,2019,50,18,28,46,4,2,6,10,25,35,19,5,5,0,4,-33,0.32249999999999995
Duncan Robinson,2020,1153,377,434,811,85,10,95,314,402,716,274,125,44,23,82,382,11.785000000000002
Duncan Robinson,2021,1058,347,451,798,86,14,100,278,408,686,277,145,51,22,89,78,11.8575
Duncan Robinson,2022,936,315,468,783,56,11,67,250,421,671,226,134,46,15,63,112,8.265
Duncan Robinson,2023,475,163,232,395,36,4,40,113,192,305,103,85,22,3,48,-1,4.1875
Dwight Powell,2015,90,0,37,0,0,8,0,3,0,0,51,10,9,6,11,3,0.8924999999999998
Dwight Powell,2016,423,13,160,22,7,42,12,2,0,0,290,48,37,24,41,-99,4.2425000000000015
Dwight Powell,2017,516,6,183,12,1,34,2,21,0,0,306,49,61,39,34,-179,5.539999999999999
Dwight Powell,2018,671,255,175,430,133,52,185,28,56,84,444,91,67,32,59,6,8.2575
Dwight Powell,2019,815,290,196,486,196,58,254,39,88,127,411,112,44,50,67,15,9.365
Dwight Powell,2020,376,146,83,229,74,37,111,10,29,39,227,59,34,22,36,195,5.110000000000001
Dwight Powell,2021,361,127,75,202,102,28,130,5,16,21,247,69,38,30,41,85,5.047499999999999
Dwight Powell,2022,775,291,145,436,180,55,235,13,26,39,451,101,40,45,73,91,9.48
Dwight Powell,2023,506,197,72,269,112,56,168,0,5,5,314,69,48,26,65,166,6.674999999999999
Dylan Windler,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Windler,2021,161,57,73,130,21,6,27,26,51,77,107,33,19,12,32,-62,1.5949999999999998
Dylan Windler,2022,110,37,61,98,15,3,18,21,49,70,89,34,14,3,16,-10,1.2675
Dylan Windler,2023,5,2,1,3,0,0,0,1,1,2,0,1,1,0,1,-1,0.05
Dyson Daniels,2023,42,15,30,45,6,1,7,6,15,21,40,29,8,0,14,-22,0.4325
Eric Gordon,2009,1252,,490,,,51,,131,,,201,215,78,35,164,-457,8.857499999999998
Eric Gordon,2010,1045,,432,,,77,,119,,,160,186,69,14,144,-232,7.192500000000001
Eric Gordon,2011,1247,,522,,,61,,106,,,164,244,71,18,151,1,9.3525
Eric Gordon,2012,185,,77,,,16,,10,,,25,31,13,4,24,34,1.405
Eric Gordon,2013,713,,349,,,35,,56,,,77,137,45,8,117,-34,4.2725
Eric Gordon,2014,988,352,461,807,174,48,221,101,155,255,165,208,74,12,134,-269,6.647500000000001
Eric Gordon,2015,892,0,444,0,0,27,0,154,0,0,168,244,52,16,132,26,7.050000000000002
Eric Gordon,2016,686,5,321,17,2,14,2,113,5,7,99,121,43,14,73,-75,5.160000000000002
Eric Gordon,2017,1359,12,674,37,3,33,3,273,17,26,244,210,56,47,135,342,11.3
Eric Gordon,2018,1505,499,692,1191,246,56,302,261,477,738,215,182,54,35,154,588,12.252500000000001
Eric Gordon,2019,1299,451,637,1088,143,37,180,254,441,695,176,143,48,38,117,358,10.165000000000001
Eric Gordon,2020,728,243,396,639,117,30,147,125,268,393,103,90,33,20,67,-50,4.6850000000000005
Eric Gordon,2021,481,159,208,367,94,20,114,69,141,210,58,71,14,13,51,-68,3.3275000000000006
Eric Gordon,2022,765,268,296,564,105,30,135,124,177,301,113,154,28,18,107,-176,5.6775
Eric Gordon,2023,907,309,388,697,147,32,179,142,243,385,141,196,46,27,108,-244,6.8675
Eugene Omoruyi,2022,7,2,3,5,2,2,4,1,1,2,7,2,0,0,0,3,0.0925
Eugene Omoruyi,2023,278,101,127,228,51,24,75,25,64,89,111,28,28,3,34,-41,2.14
Evan Fournier,2013,221,,88,,,10,,22,,,35,48,21,1,38,51,1.8525
Evan Fournier,2014,638,228,316,544,93,30,123,89,148,237,202,112,34,7,100,12,4.6575
Evan Fournier,2015,698,8,322,19,4,40,5,85,5,8,153,120,40,2,82,-146,4.785000000000001
Evan Fournier,2016,1213,9,500,16,1,39,1,156,2,4,225,214,96,2,133,-199,9.510000000000002
Evan Fournier,2017,1167,18,522,40,12,54,13,128,10,16,209,202,66,4,141,-193,8.010000000000002
Evan Fournier,2018,1013,368,434,802,150,23,173,127,208,335,180,165,47,16,95,-115,7.760000000000001
Evan Fournier,2019,1288,492,646,1138,143,35,178,161,323,484,274,305,78,12,166,0,9.7575
Evan Fournier,2020,1285,454,532,986,192,45,237,185,284,469,191,222,77,18,134,-134,10.0275
Evan Fournier,2021,796,274,330,604,118,31,149,130,183,313,146,151,53,19,78,-81,6.74
Evan Fournier,2022,1125,402,563,965,80,33,113,241,378,619,210,171,79,20,105,-93,8.685
Evan Fournier,2023,165,56,110,166,18,3,21,35,79,114,49,36,16,3,22,-54,1.0525000000000002
Evan Mobley,2022,1052,430,416,846,168,86,254,24,71,95,581,176,56,116,134,98,10.995000000000001
Evan Mobley,2023,1326,547,448,995,210,102,312,22,81,103,761,234,63,125,158,335,15.152500000000003
Frank Jackson,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Jackson,2019,495,194,253,447,54,19,73,53,116,169,134,69,25,2,48,-135,3.1775
Frank Jackson,2020,371,134,197,331,56,19,75,47,97,144,83,61,17,4,49,-59,2.2550000000000003
Frank Jackson,2021,390,134,159,293,61,14,75,61,89,150,86,36,15,1,34,-13,2.9875000000000003
Frank Jackson,2022,560,194,289,483,86,18,104,86,193,279,87,55,27,9,38,-185,3.410000000000001
Frank Jackson,2023,0,0,3,3,0,0,0,0,1,1,2,1,0,0,0,-2,-0.0175
Frank Kaminsky,2016,656,4,342,22,6,44,8,73,9,10,365,106,44,48,60,-29,6.232500000000001
Frank Kaminsky,2017,874,20,482,51,4,38,5,116,15,21,336,162,46,34,76,39,7.3525
Frank Kaminsky,2018,873,307,409,716,155,39,194,104,170,274,288,129,36,19,66,-57,7.092499999999999
Frank Kaminsky,2019,405,138,160,298,79,28,107,50,89,139,163,63,12,12,41,42,3.74
Frank Kaminsky,2020,378,138,169,307,61,29,90,41,83,124,176,75,14,10,37,-9,3.4075
Frank Kaminsky,2021,332,131,148,279,38,23,61,32,58,90,202,93,16,20,26,47,3.855
Frank Kaminsky,2022,95,36,30,66,18,2,20,5,10,15,41,13,8,7,5,39,1.19
Frank Kaminsky,2023,89,31,32,63,14,2,16,13,20,33,52,32,6,4,9,-4,1.1275
Frank Ntilikina,2018,469,185,321,506,49,19,68,50,109,159,181,255,68,18,133,-82,3.6600000000000006
Frank Ntilikina,2019,246,95,187,282,23,7,30,33,82,115,87,121,30,14,56,-185,1.4500000000000002
Frank Ntilikina,2020,357,131,202,333,51,8,59,44,93,137,121,172,54,16,71,-97,3.370000000000001
Frank Ntilikina,2021,89,29,51,80,8,10,18,23,26,49,31,19,18,4,11,-33,0.7975
Frank Ntilikina,2022,263,97,150,247,25,1,26,44,87,131,91,78,35,8,37,47,2.5775
Frank Ntilikina,2023,135,48,84,132,22,11,33,17,50,67,62,58,16,7,29,35,1.2975
Franz Wagner,2022,1203,458,522,980,190,30,220,97,177,274,356,232,68,34,119,-244,9.842500000000001
Franz Wagner,2023,1460,533,570,1103,268,49,317,126,226,352,327,283,75,17,165,38,12.225
Fred VanVleet,2017,121,1,75,5,0,4,0,13,1,1,43,39,17,3,16,83,1.2700000000000002
Fred VanVleet,2018,697,245,339,584,91,18,109,116,173,289,194,256,68,19,78,358,7.9675
Fred VanVleet,2019,893,311,455,766,121,25,146,150,244,394,207,369,75,26,103,331,11.860000000000003
Fred VanVleet,2020,1168,395,568,963,189,34,223,189,295,484,251,433,118,24,143,212,11.795000000000002
Fred VanVleet,2021,1019,338,532,870,169,22,191,174,302,476,220,328,87,37,95,139,9.900000000000002
Fred VanVleet,2022,1381,463,692,1155,199,29,228,256,426,682,303,462,118,39,175,171,13.2075
Fred VanVleet,2023,1335,437,675,1112,254,29,283,207,399,606,280,495,123,38,140,195,13.352500000000003
Furkan Korkmaz,2018,26,9,20,29,2,2,4,6,12,18,11,4,2,1,2,-41,0.075
Furkan Korkmaz,2019,298,104,159,263,40,9,49,50,102,152,113,57,29,3,26,41,2.765
Furkan Korkmaz,2020,707,242,328,570,80,27,107,143,219,362,174,81,42,16,61,106,6.075000000000001
Furkan Korkmaz,2021,585,200,297,497,70,26,96,115,198,313,137,89,56,12,51,181,5.3425
Furkan Korkmaz,2022,537,193,300,493,70,16,86,81,195,276,187,131,34,10,50,26,4.602499999999999
Furkan Korkmaz,2023,142,48,65,113,28,10,38,18,29,47,43,23,10,3,25,1,1.0499999999999998
Gabe Vincent,2020,22,8,29,37,0,0,0,6,21,27,5,6,5,0,1,-31,0.00250000000000003
Gabe Vincent,2021,247,90,146,236,20,3,23,47,104,151,57,69,21,2,35,-78,1.6875
Gabe Vincent,2022,735,264,380,644,63,11,74,144,260,404,161,267,76,17,123,175,7.085000000000002
Gabe Vincent,2023,920,327,486,813,98,14,112,168,317,485,176,245,81,9,123,-1,8.6125
Garrett Temple,2010,140,,59,,,15,,14,,,33,23,14,6,29,-7,1.0125
Garrett Temple,2011,57,,48,,,10,,10,,,23,32,11,6,23,-32,0.29000000000000004
Garrett Temple,2013,262,,153,,,11,,26,,,123,115,50,17,61,-21,2.6650000000000005
Garrett Temple,2014,143,53,90,142,30,13,43,7,23,30,68,72,35,11,43,-104,1.1575
Garrett Temple,2015,211,3,107,8,1,16,2,33,2,3,93,57,44,9,37,-58,2.0725000000000002
Garrett Temple,2016,582,1,304,6,1,34,2,89,0,1,212,140,69,18,64,-33,5.369999999999999
Garrett Temple,2017,506,5,249,14,0,16,0,82,3,5,184,168,84,28,78,-175,5.067500000000001
Garrett Temple,2018,547,199,277,476,60,18,78,89,138,227,152,124,57,27,79,-263,4.15
Garrett Temple,2019,600,211,293,504,87,30,117,91,180,271,223,108,79,31,72,-89,5.5525
Garrett Temple,2020,689,239,397,636,75,18,93,136,286,422,229,164,52,30,68,-77,5.867500000000001
Garrett Temple,2021,423,158,223,381,40,10,50,67,133,200,160,124,43,30,58,48,4.322500000000001
Garrett Temple,2022,309,111,184,295,28,13,41,59,126,185,144,74,43,23,42,-328,2.235
Garrett Temple,2023,50,18,27,45,3,1,4,11,15,26,17,13,9,2,4,-17,0.5075
Garrison Mathews,2020,98,24,32,56,31,3,34,19,27,46,24,10,8,1,8,35,1.0350000000000001
Garrison Mathews,2021,358,97,144,241,88,12,100,76,126,202,89,26,29,7,10,-140,3.075
Garrison Mathews,2022,650,184,277,461,143,37,180,139,247,386,190,64,57,24,41,-216,5.63
Garrison Mathews,2023,257,73,128,201,48,5,53,63,117,180,73,26,24,5,19,-87,2.0475000000000003
Gary Harris,2015,188,4,151,14,1,12,2,21,5,6,64,29,39,7,38,-190,0.5775000000000001
Gary Harris,2016,932,7,406,11,2,24,3,105,1,3,220,147,97,18,98,-209,7.557499999999999
Gary Harris,2017,851,18,317,34,9,30,10,107,5,11,178,164,71,8,76,81,8.084999999999999
Gary Harris,2018,1170,440,468,908,134,28,162,156,238,394,176,194,122,15,119,174,10.655000000000001
Gary Harris,2019,936,343,452,795,148,34,182,102,197,299,218,159,67,27,79,278,8.345000000000002
Gary Harris,2020,685,252,357,609,92,22,114,89,173,262,191,142,92,18,81,120,6.2975
Gary Harris,2021,388,138,207,345,64,14,78,48,93,141,79,78,28,11,37,-85,2.7725000000000004
Gary Harris,2022,679,240,313,553,83,12,95,116,186,302,122,108,59,9,61,-209,5.165
Gary Harris,2023,397,138,169,307,27,3,30,94,124,218,98,59,45,12,28,-82,3.825
Gary Payton II,2017,20,,14,,,2,,1,,,12,13,3,4,10,-58,0.03000000000000001
Gary Payton II,2018,69,30,44,74,3,6,9,6,19,25,44,21,7,3,7,12,0.695
Gary Payton II,2019,11,5,3,8,0,0,0,1,1,2,2,4,3,1,1,11,0.19000000000000006
Gary Payton II,2020,113,48,68,116,4,4,8,13,33,46,80,48,33,7,20,-139,1.1575000000000002
Gary Payton II,2021,25,10,3,13,3,1,4,2,2,4,11,1,6,1,1,3,0.37
Gary Payton II,2022,580,241,147,388,47,29,76,51,84,135,284,80,110,29,46,231,10.530000000000001
Gary Payton II,2023,183,77,46,123,12,4,16,17,24,41,113,39,30,11,27,-7,2.4499999999999997
Gary Trent Jr.,2019,40,16,34,50,3,4,7,5,16,21,11,5,1,2,4,-8,0.12500000000000003
Gary Trent Jr.,2020,589,212,274,486,43,9,52,122,170,292,110,64,52,16,26,-95,5.0325
Gary Trent Jr.,2021,888,320,465,785,83,23,106,165,264,429,152,80,56,10,43,-59,6.44
Gary Trent Jr.,2022,1375,481,687,1168,191,32,223,222,362,584,201,149,128,22,76,126,11.192499999999999
Gary Trent Jr.,2023,1148,405,530,935,172,33,205,166,284,450,173,106,104,14,55,-52,9.1625
George Hill,2009,461,,236,,,33,,27,,,166,138,47,22,76,16,4.0375000000000005
George Hill,2010,1098,,441,,,60,,86,,,236,233,79,28,109,156,9.9925
George Hill,2011,954,,376,,,41,,81,,,229,207,75,23,107,253,9.197500000000002
George Hill,2012,629,,270,,,33,,69,,,176,177,55,20,74,155,6.3775
George Hill,2013,1339,,609,,,52,,164,,,351,432,103,30,156,496,13.807500000000001
George Hill,2014,1011,351,443,794,186,51,237,123,214,337,355,322,98,27,120,342,11.1475
George Hill,2015,692,8,280,15,2,30,3,69,2,2,179,220,44,14,69,161,7.124999999999999
George Hill,2016,989,13,438,30,5,40,6,141,9,15,317,274,89,18,109,125,9.9425
George Hill,2017,954,22,369,41,11,47,15,106,9,17,200,233,52,12,98,276,9.1575
George Hill,2018,842,295,349,644,151,42,193,101,155,256,222,228,71,35,110,-105,7.732499999999999
George Hill,2019,631,233,261,494,97,21,118,68,133,201,201,177,64,12,57,215,7.042500000000001
George Hill,2020,649,226,217,443,106,21,127,91,113,204,201,211,53,5,73,295,7.807499999999999
George Hill,2021,317,114,126,240,50,13,63,39,60,99,77,91,31,8,41,-2,3.0775
George Hill,2022,339,119,161,280,59,5,64,42,94,136,161,123,42,6,42,283,4.4750000000000005
George Hill,2023,232,78,88,166,42,13,55,34,61,95,85,110,26,6,34,41,2.8724999999999996
Georges Niang,2017,21,1,27,1,0,0,0,1,0,0,17,5,3,0,5,3,0.050000000000000024
Georges Niang,2018,9,4,7,11,1,1,2,0,4,4,9,3,2,0,3,-13,0.037500000000000006
Georges Niang,2019,257,95,108,203,20,4,24,47,71,118,101,40,11,7,25,-84,2.2125000000000004
Georges Niang,2020,450,163,203,366,22,4,26,102,152,254,142,48,18,6,32,-32,3.8500000000000005
Georges Niang,2021,535,188,256,444,26,1,27,133,189,322,195,67,25,9,59,348,5.484999999999999
Georges Niang,2022,758,266,345,611,54,7,61,172,258,430,221,113,33,13,66,91,6.885
Georges Niang,2023,685,240,296,536,39,6,45,166,243,409,186,78,30,16,58,61,6.2075
Giannis Antetokounmpo,2014,525,171,245,415,135,64,196,41,77,117,339,150,60,61,122,-177,5.050000000000001
Giannis Antetokounmpo,2015,1099,12,442,27,11,96,14,7,1,2,584,223,76,94,184,-41,10.440000000000001
Giannis Antetokounmpo,2016,1350,15,500,30,14,113,20,28,2,3,612,345,94,113,208,-171,13.282499999999999
Giannis Antetokounmpo,2017,2011,22,658,46,22,162,23,53,5,8,763,459,147,162,254,51,21.057499999999997
Giannis Antetokounmpo,2018,2210,817,720,1537,529,173,702,47,109,156,827,407,119,112,242,122,21.625000000000004
Giannis Antetokounmpo,2019,2415,867,664,1531,609,247,856,72,192,264,1092,502,111,140,321,758,26.880000000000003
Giannis Antetokounmpo,2020,2122,787,633,1420,445,267,712,103,234,337,991,409,68,77,261,702,22.397500000000004
Giannis Antetokounmpo,2021,2386,892,663,1555,519,268,787,83,211,294,947,468,94,99,274,556,31.2375
Giannis Antetokounmpo,2022,2412,844,707,1551,644,256,900,80,206,286,960,475,83,107,274,477,24.675
Giannis Antetokounmpo,2023,2029,735,596,1331,512,291,803,47,127,174,776,375,53,53,260,325,18.69
Goga Bitadze,2020,172,70,80,150,24,9,33,8,34,42,106,23,10,37,28,-14,1.8199999999999996
Goga Bitadze,2021,231,83,111,194,45,16,61,20,59,79,150,37,9,60,17,-19,2.85
Goga Bitadze,2022,349,131,121,252,64,30,94,23,57,80,177,55,21,42,46,-32,3.6750000000000003
Goga Bitadze,2023,167,69,56,125,23,19,42,6,20,26,137,39,16,26,22,26,2.3375000000000004
Goran Dragic,2009,246,,136,,,15,,20,,,103,111,29,3,73,-14,1.9250000000000003
Goran Dragic,2010,757,,326,,,50,,87,,,200,277,52,9,142,83,6.767500000000002
Goran Dragic,2011,523,,249,,,50,,56,,,142,204,50,10,117,-213,3.765
Goran Dragic,2012,775,,323,,,37,,68,,,168,351,85,10,157,66,7.5375
Goran Dragic,2013,1134,,505,,,82,,88,,,238,569,124,26,212,-242,10.397499999999999
Goran Dragic,2014,1542,552,541,1093,316,100,416,122,177,299,245,447,104,22,213,301,14.362500000000002
Goran Dragic,2015,1275,5,500,9,6,53,9,90,2,3,274,350,78,15,173,22,10.984999999999998
Goran Dragic,2016,1249,26,573,52,6,55,10,80,9,13,346,473,77,20,216,239,11.2725
Goran Dragic,2017,1483,27,590,46,15,79,22,117,12,22,279,423,89,13,212,66,12.477500000000003
Goran Dragic,2018,1391,520,633,1153,232,61,293,119,203,322,323,383,68,12,182,-20,11.0325
Goran Dragic,2019,494,179,254,433,79,22,101,57,107,164,111,174,30,5,71,42,4.09
Goran Dragic,2020,1266,433,543,976,239,66,305,161,279,440,250,371,54,12,181,241,10.902499999999998
Goran Dragic,2021,747,268,357,625,111,25,136,100,175,275,182,235,40,10,126,9,6.0200000000000005
Goran Dragic,2022,199,75,108,183,29,6,35,20,55,75,83,92,22,4,39,18,1.9675
Goran Dragic,2023,369,141,196,337,35,14,49,52,94,146,81,152,13,4,63,0,2.89
Gordon Hayward,2011,388,,151,,,28,,35,,,139,81,30,19,70,-197,2.9525000000000006
Gordon Hayward,2012,811,,346,,,39,,56,,,241,219,56,41,112,-9,7.372499999999999
Gordon Hayward,2013,1017,,437,,,51,,102,,,225,213,58,38,120,106,8.742500000000001
Gordon Hayward,2014,1248,414,606,1014,306,70,376,85,195,280,391,400,110,40,212,-395,9.687499999999996
Gordon Hayward,2015,1463,32,603,73,33,87,42,120,20,29,373,313,108,30,206,106,12.392499999999998
Gordon Hayward,2016,1578,15,681,37,7,84,9,143,12,16,397,296,95,27,202,102,12.725000000000001
Gordon Hayward,2017,1874,27,719,54,8,72,10,177,9,16,462,291,87,23,164,280,16.592500000000005
Gordon Hayward,2018,2,1,1,2,0,0,0,0,1,1,1,0,0,0,0,3,0.0225
Gordon Hayward,2019,911,325,380,705,175,31,206,86,169,255,358,266,68,26,119,204,9.5675
Gordon Hayward,2020,963,370,380,750,131,22,153,92,154,246,368,226,45,24,103,339,10.1375
Gordon Hayward,2021,863,311,347,658,156,29,185,85,120,205,258,181,52,14,91,19,7.8225
Gordon Hayward,2022,778,283,334,617,126,23,149,86,134,220,224,177,47,22,81,-20,7.0025
Gordon Hayward,2023,733,276,305,581,129,30,159,52,108,160,215,206,42,12,99,-108,6.177499999999999
Gorgui Dieng,2014,286,113,114,227,59,34,93,1,0,1,300,39,30,50,54,-40,3.5725
Gorgui Dieng,2015,710,3,253,4,0,53,0,1,0,0,609,146,71,126,126,-383,8.38
Gorgui Dieng,2016,827,4,271,5,4,43,5,6,0,0,585,143,94,96,140,-3,9.989999999999998
Gorgui Dieng,2017,816,5,329,10,2,31,2,16,1,1,647,158,88,95,107,32,10.244999999999997
Gorgui Dieng,2018,487,192,214,406,82,24,106,21,45,66,378,75,47,43,60,-202,5.0375
Gorgui Dieng,2019,485,189,188,377,88,18,106,19,37,56,311,72,48,41,57,-119,5.172500000000001
Gorgui Dieng,2020,464,166,198,364,78,23,101,54,98,152,354,73,51,59,60,-103,5.500000000000001
Gorgui Dieng,2021,258,85,78,163,58,9,67,30,40,70,140,48,26,16,32,-68,2.92
